window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
881,440500,444500,445500,-0.004490169247798964,0.803921568627451,0.01395394026115258,200,160,40,0.007239103317260742,0.38803911209106445,
894,447000,451000,452000,0.005908502394191439,0.0784313725490196,0.012645730226288374,200,160,40,0.007106781005859375,0.3912227153778076,
908,454000,458000,459000,-0.0024143109468589274,0.6274509803921569,0.013106958796574525,200,160,40,0.0,0.3657960891723633,
921,460500,464500,465500,-0.002364318722093056,0.6862745098039216,0.012330876248195009,200,160,40,0.006008148193359375,0.40503644943237305,
934,467000,471000,472000,-0.0018624380670706486,0.7254901960784313,0.01219066841875737,200,160,40,0.0070078372955322266,0.41217827796936035,
948,474000,478000,479000,0.0005703451468782872,0.35294117647058826,0.01215792669893025,200,160,40,0.007000446319580078,0.42301225662231445,
961,480500,484500,485500,-0.0041181046907447505,0.7058823529411765,0.013478540543259447,200,160,40,0.007903575897216797,0.4149034023284912,
974,487000,491000,492000,-0.0015779561216198168,0.5686274509803921,0.012123969284548926,200,160,40,0.015941619873046875,0.3885798454284668,
988,494000,498000,499000,0.0123067871991977,0.0392156862745098,0.012183831090491164,200,160,40,0.008156061172485352,0.39557838439941406,
1001,500500,504500,505500,0.011170298578321247,0.0784313725490196,0.011965073411631302,200,160,40,0.0074880123138427734,0.429227352142334,
1015,507500,511500,512500,-0.0010678245237815964,0.6078431372549019,0.012106096090301695,200,160,40,0.008122444152832031,0.39824914932250977,
1028,514000,518000,519000,-0.0018058100266184762,0.6470588235294118,0.012064088795407393,200,160,40,0.006008148193359375,0.39730310440063477,
1041,520500,524500,525500,0.0014075735359011243,0.39215686274509803,0.012000105832256379,200,160,40,0.007758617401123047,0.39038681983947754,
1055,527500,531500,532500,-0.0028194504186934144,0.6666666666666666,0.01255203023048011,200,160,40,0.007971048355102539,0.4066295623779297,
1068,534000,538000,539000,-0.005218850234804423,0.8431372549019608,0.011826298167146941,200,160,40,0.007008790969848633,0.4039883613586426,
1081,540500,544500,545500,0.00956373527855009,0.058823529411764705,0.011657995672262498,200,160,40,0.006701469421386719,0.38358402252197266,
1095,547500,551500,552500,-0.0034583314310655533,0.7450980392156863,0.013529548834960568,200,160,40,0.006108760833740234,0.3878028392791748,
1108,554000,558000,559000,-0.0007919324065900624,0.6078431372549019,0.012251672925381697,200,160,40,0.007161378860473633,0.4033529758453369,
1121,560500,564500,565500,0.0004056630132198147,0.3333333333333333,0.012720413221031705,200,160,40,0.01573038101196289,0.40172672271728516,
1135,567500,571500,572500,0.003586853320988709,0.17647058823529413,0.011314997081374947,200,160,40,0.006006956100463867,0.401918888092041,
1148,574000,578000,579000,0.0018577186180863126,0.29411764705882354,0.012091036249620718,200,160,40,0.007251262664794922,0.3872101306915283,
1161,580500,584500,585500,0.0033694624083188407,0.27450980392156865,0.012245523039530812,200,160,40,0.008080482482910156,0.4160940647125244,
1175,587500,591500,592500,-0.005542351809983831,0.9215686274509803,0.011836823873106982,200,160,40,0.007938861846923828,0.4036421775817871,
1188,594000,598000,599000,-0.007143299958508431,0.9019607843137255,0.012977686326383995,200,160,40,0.0061798095703125,0.38785743713378906,
1202,601000,605000,606000,-0.0037242267950481633,0.7647058823529411,0.012994894818198252,200,160,40,0.00699162483215332,0.42919182777404785,
1215,607500,611500,612500,-0.000773181560063424,0.49019607843137253,0.012758594319427986,200,160,40,0.007652759552001953,0.3861827850341797,
1228,614000,618000,619000,0.0050803949085781175,0.13725490196078433,0.01127734616653656,200,160,40,0.007965087890625,0.3943595886230469,
1242,621000,625000,626000,0.012159055602889185,0.0392156862745098,0.01052034953329829,200,160,40,0.007187604904174805,0.40325117111206055,
1255,627500,631500,632500,0.01577783759600801,0.0196078431372549,0.010777537822176648,200,160,40,0.007444143295288086,0.3976120948791504,
1268,634000,638000,639000,0.006316911686042065,0.09803921568627451,0.012294594336761775,200,160,40,0.006007194519042969,0.38921189308166504,
1282,641000,645000,646000,-0.003947205494687384,0.8627450980392157,0.012411164687716518,200,160,40,0.006967782974243164,0.3876960277557373,
1295,647500,651500,652500,0.006060401557430373,0.13725490196078433,0.011579727401850391,200,160,40,0.006216526031494141,0.38977980613708496,
1308,654000,658000,659000,0.0026527269507032325,0.27450980392156865,0.01205882897669614,200,160,40,0.0060079097747802734,0.39206886291503906,
1322,661000,665000,666000,-0.001599556416061798,0.47058823529411764,0.01206690835477918,200,160,40,0.007988452911376953,0.39444994926452637,
1335,667500,671500,672500,0.008984500862219302,0.0392156862745098,0.011978054400458897,200,160,40,0.008035421371459961,0.38980674743652344,
1348,674000,678000,679000,-0.0017708574859933435,0.5490196078431373,0.012075988253183359,200,160,40,0.008855581283569336,0.3920705318450928,
1362,681000,685000,686000,-0.0014164474572377905,0.6078431372549019,0.011701418478275088,200,160,40,0.007657766342163086,0.38741397857666016,
1375,687500,691500,692500,-0.003072737339843673,0.7843137254901961,0.012296277287559807,200,160,40,0.0066835880279541016,0.3952305316925049,
1388,694000,698000,699000,0.001521944380314666,0.39215686274509803,0.01172315220846265,200,160,40,0.007264375686645508,0.38698673248291016,
1402,701000,705000,706000,-0.0012553969108373697,0.47058823529411764,0.012022093077673025,200,160,40,0.00770878791809082,0.38444066047668457,
1415,707500,711500,712500,-0.0028055962143390956,0.5882352941176471,0.012387607674159855,200,160,40,0.006000995635986328,0.41921305656433105,
1429,714500,718500,719500,-0.0052793758926401035,0.9215686274509803,0.012394200398397958,200,160,40,0.006563425064086914,0.40074706077575684,
1442,721000,725000,726000,-0.005323939153639684,0.7450980392156863,0.01314184325042796,200,160,40,0.0070972442626953125,0.4192516803741455,
1455,727500,731500,732500,-0.007534033392507522,0.9607843137254902,0.011882881003432764,200,160,40,0.006998300552368164,0.39073920249938965,
1469,734500,738500,739500,-0.00040793708049449706,0.43137254901960786,0.011883706061021279,200,160,40,0.008924007415771484,0.38586926460266113,
1482,741000,745000,746000,0.000112784730715354,0.47058823529411764,0.011988870935705607,200,160,40,0.007738590240478516,0.3941504955291748,
1495,747500,751500,752500,0.00438775586843565,0.17647058823529413,0.011726752889095573,200,160,40,0.007121562957763672,0.38772058486938477,
1509,754500,758500,759500,-0.0030092309418579266,0.6274509803921569,0.01099377537940188,200,160,40,0.006822824478149414,0.3907155990600586,
1522,761000,765000,766000,-0.008334513691664852,1.0,0.013364192567982342,200,160,40,0.007609367370605469,0.4015192985534668,
1535,767500,771500,772500,-0.0024876550737030767,0.7647058823529411,0.011963629200539387,200,160,40,0.0077402591705322266,0.4137289524078369,
1549,774500,778500,779500,-0.0032961324146923987,0.7058823529411765,0.013738697416091478,200,160,40,0.008931398391723633,0.39685964584350586,
