window_id,start_ref,start_test,end_test,mmd_stat_q,p_q,kernel_var,n_sub_total,n_sub_X,n_sub_Y,perm_time_s,total_time_s,error
227,113500,117500,118500,0.020732606987847735,0.0392156862745098,0.022185879328609378,200,160,40,0.0060198307037353516,1.3096954822540283,
235,117500,121500,122500,0.0023990321673776904,0.29411764705882354,0.024381525156459763,200,160,40,0.009500503540039062,1.3104453086853027,
243,121500,125500,126500,-0.0005695417602398778,0.5098039215686274,0.02328407801356479,200,160,40,0.009666681289672852,1.365117073059082,
251,125500,129500,130500,-0.004232097384192002,0.7843137254901961,0.02280691103499061,200,160,40,0.013796091079711914,1.275763988494873,
259,129500,133500,134500,0.0010465219363079425,0.39215686274509803,0.02046254367155206,200,160,40,0.008835315704345703,1.328279733657837,
267,133500,137500,138500,0.007657801905922718,0.27450980392156865,0.017672070292737922,200,160,40,0.009481668472290039,1.2769794464111328,
275,137500,141500,142500,0.0018242800028473727,0.39215686274509803,0.01613264887045757,200,160,40,0.008801698684692383,1.3002598285675049,
282,141000,145000,146000,-0.006044680785937118,0.8823529411764706,0.019410041958119705,200,160,40,0.008178472518920898,1.3544292449951172,
290,145000,149000,150000,-0.004001990956067042,0.8235294117647058,0.02049289543075445,200,160,40,0.009236574172973633,1.2679283618927002,
298,149000,153000,154000,-0.0008960736146744475,0.4117647058823529,0.021251353022925645,200,160,40,0.008940935134887695,1.3057279586791992,
306,153000,157000,158000,-0.004699828301051784,0.7254901960784313,0.024179228061789806,200,160,40,0.008101701736450195,1.3659558296203613,
314,157000,161000,162000,-0.0034619185894655957,0.6274509803921569,0.023685167468291163,200,160,40,0.007776737213134766,1.2876214981079102,
322,161000,165000,166000,0.0013442816456033235,0.3137254901960784,0.020815153013630724,200,160,40,0.009227752685546875,1.3232934474945068,
330,165000,169000,170000,0.002680282077327012,0.3137254901960784,0.022073476304307317,200,160,40,0.009138822555541992,1.3454158306121826,
337,168500,172500,173500,0.007934500822937646,0.17647058823529413,0.02087382848468853,200,160,40,0.00823354721069336,1.3139121532440186,
345,172500,176500,177500,-0.0024246709196248384,0.7058823529411765,0.01991210894287303,200,160,40,0.007022380828857422,1.3002371788024902,
353,176500,180500,181500,0.000916767594659168,0.2549019607843137,0.019584820773173618,200,160,40,0.008466482162475586,1.3065857887268066,
361,180500,184500,185500,0.0013643844994598309,0.39215686274509803,0.026167716914063402,200,160,40,0.010028362274169922,1.390573263168335,
369,184500,188500,189500,-0.0014000858901015434,0.6862745098039216,0.02252121572465005,200,160,40,0.006345510482788086,1.3116662502288818,
377,188500,192500,193500,0.0023065525480518434,0.3137254901960784,0.02059225971306442,200,160,40,0.00995779037475586,1.2929182052612305,
385,192500,196500,197500,0.009292605560677653,0.058823529411764705,0.019036939528832553,200,160,40,0.007865190505981445,1.3346374034881592,
392,196000,200000,201000,-0.0013818261622774441,0.6666666666666666,0.020338624295583762,200,160,40,0.00866079330444336,1.3067357540130615,
400,200000,204000,205000,0.014531885189790344,0.058823529411764705,0.023094212277457227,200,160,40,0.009736061096191406,1.3176515102386475,
408,204000,208000,209000,-0.005697226823967977,0.7647058823529411,0.02180300695673912,200,160,40,0.00759124755859375,1.352797031402588,
416,208000,212000,213000,-0.006171726840525166,0.9019607843137255,0.020690944325759998,200,160,40,0.009062528610229492,1.2968101501464844,
424,212000,216000,217000,0.006796518085425085,0.17647058823529413,0.018417982841196598,200,160,40,0.0,1.3532688617706299,
432,216000,220000,221000,-0.004020751869552003,0.8235294117647058,0.018473332379132276,200,160,40,0.008122682571411133,1.2927300930023193,
440,220000,224000,225000,-0.0015440089076663444,0.5490196078431373,0.02141592900843241,200,160,40,0.006730794906616211,1.3137147426605225,
447,223500,227500,228500,0.002008121666539381,0.3333333333333333,0.021105681991466677,200,160,40,0.008217334747314453,1.304309368133545,
455,227500,231500,232500,0.009568377961354513,0.19607843137254902,0.022602740142808938,200,160,40,0.00923609733581543,1.289611577987671,
463,231500,235500,236500,-0.005202914101266748,0.7843137254901961,0.021895131507906625,200,160,40,0.0,1.2644453048706055,
471,235500,239500,240500,0.0017435411613813678,0.43137254901960786,0.018566714085702637,200,160,40,0.01600813865661621,1.2943978309631348,
479,239500,243500,244500,-0.003926866363152703,0.7254901960784313,0.022273995520111226,200,160,40,0.0,1.2843334674835205,
487,243500,247500,248500,0.0009226769909815302,0.3333333333333333,0.024963969580319947,200,160,40,0.0,1.3296313285827637,
495,247500,251500,252500,0.0009345205336654672,0.29411764705882354,0.019273127658720555,200,160,40,0.0,1.248689889907837,
502,251000,255000,256000,-0.0006971354458657486,0.5294117647058824,0.024967575231659732,200,160,40,0.0,1.314316749572754,
510,255000,259000,260000,0.007868758815716526,0.11764705882352941,0.01999059326925092,200,160,40,0.0,1.3686528205871582,
518,259000,263000,264000,-0.002939485423403332,0.6666666666666666,0.01924480118932269,200,160,40,0.009734869003295898,1.369751214981079,
526,263000,267000,268000,-0.00691197120139711,0.9607843137254902,0.015701774753304764,200,160,40,0.0,1.2910642623901367,
534,267000,271000,272000,-0.002231099709328749,0.6666666666666666,0.0168470269186655,200,160,40,0.009228944778442383,1.2794864177703857,
